SALARY,EXPERIENCE,AGE,HT,WT,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGP,THP,FTP,APG,BLKPG,STLPG,TOPG
5193600,6,31,208.28,117.65,6,1.1,5.4,12.09,5.4,0.7,4.4,376,15,0.502,0.143,0.802,0.7,0.5,0.2,0.8
1349464,1,24,198.12,89.59,3,0.6,1.5,12.18,3,0.6,1.5,13,8.8,0.577,0.429,0.462,0.6,0.1,0.2,0.6
5169960,2,21,200.66,99.55,14.5,1.6,4.9,13.69,10.4,1.2,3.8,148,23.6,0.461,0.379,0.658,1.2,0.3,0.7,1.3
31214295,8,28,203.2,101.81,2,0,1,7.43,15.6,3.4,4.2,517,31.3,0.444,0.368,0.82,3.4,0.4,1,2
28928709,11,32,208.28,110.86,12.9,7.4,1.1,17.63,14.2,8.6,1.2,718,33.2,0.525,0.37,0.75,3.2,1.2,0.8,1.6
20099189,7,26,190.5,87.33,24.4,5.1,3.8,25.03,22,5.5,3.4,441,33.9,0.462,0.388,0.875,5.5,0.3,1.3,2.7
5375000,7,29,205.74,106.33,13.6,5.4,0.2,14.57,11.2,4.4,0.2,470,26.3,0.428,0.357,0.731,1.5,0.2,0.7,1.2
1378242,1,23,200.66,109.05,2.7,2.2,0.1,4.57,2.7,2.2,0.1,73,15.8,0.346,0.32,0.61,0.3,0.1,0.3,0.3
3050390,3,24,185.42,85.97,11.3,2.9,4.7,15.12,7.2,2.1,3.5,193,18.9,0.377,0.355,0.773,2.1,0.2,0.7,0.8
11660716,4,24,193.04,99.55,10.2,4.8,3.5,10.83,9.4,3.9,3.7,261,28.7,0.36,0.293,0.756,3.9,0.4,1.5,1.8
6700800,1,20,203.2,94.12,13.9,1.6,5,15.29,13.9,1.6,5,80,30.5,0.475,0.434,0.826,1.6,0.7,1,1.4
1378242,1,26,203.2,109.95,5.3,4.3,0.8,16.16,5.3,4.3,0.8,63,14.8,0.541,0.31,0.753,0.9,0.8,0.5,0.9
